System,Visits,WER,WER substitutions,WER deletions,WER insertions,WER excluding insertions,sWER,DER,DER confusion,QTP-F1
Chirp-3 ASR + Chirp-3 diarization + Chirp-3 redaction,269,45.40,5.16,8.03,32.21,13.19,47.85,69.07,20.71,83.82
Chirp-3 ASR + CrisperWhisper 2.0 verbatimize + Chirp-3 diarization,269,45.54,5.58,7.99,31.96,13.57,47.75,63.46,21.08,84.58
CrisperWhisper 2.0 ASR + pyannote community-1,269,41.88,4.04,6.44,31.41,10.48,42.05,22.42,21.46,88.32
CrisperWhisper 2.0 ASR + pyannote community-1 + Qwen2.5-7B review,269,42.00,4.09,6.43,31.48,10.53,42.41,22.54,21.57,88.23
CrisperWhisper 2.0 ASR + pyannote 3.1,269,43.68,5.18,5.42,33.07,10.60,41.74,20.54,17.74,87.06
CrisperWhisper 2.0 ASR + pyannote 3.1 + Qwen2.5-7B review,269,43.68,5.18,5.42,33.07,10.60,42.31,20.72,17.93,86.95
