System,Visits,WER,WER substitutions,WER deletions,WER insertions,WER excluding insertions,sWER,DER,DER confusion,QTP-F1
Chirp-3 ASR + Chirp-3 diarization + Chirp-3 redaction,66,32.37,5.24,7.03,20.09,12.28,44.10,164.84,20.10,84.13
Chirp-3 ASR + CrisperWhisper 2.0 verbatimize + Chirp-3 diarization,66,32.59,5.63,6.94,20.03,12.56,44.33,164.70,20.16,84.79
CrisperWhisper 2.0 ASR + pyannote community-1,66,31.86,4.36,8.93,18.57,13.29,39.08,22.23,22.00,89.01
CrisperWhisper 2.0 ASR + pyannote 3.1,66,32.98,5.94,7.76,19.29,13.70,38.26,19.81,17.03,87.41
